My Bloody Valentine,1981,2.9939984996249063,1334
Silkwood,1983,3.729331339457381,18725
Scandal,1989,3.0338119499768412,2160
Rambo: First Blood Part II,1985,3.432952182952183,19241
Nighthawks,1981,3.3707345286292654,1730
Fatal Beauty,1987,2.630391506303915,3015
Richard Pryor: Live on the Sunset Strip,1982,3.9169572798605055,4589
Fame,1980,3.556332803391627,9436
Smokey and the Bandit Part 3,1983,3.242424242424242,1354
Missing in Action 2: The Beginning / Missing in Action 3: Braddock,1985,3.0574662603395732,2298
Airplane II: The Sequel,1982,3.346466718540001,14138
The Deer Hunter,1978,3.8931820101945984,35510
Gross Anatomy,1989,3.182676848874598,4977
Led Zeppelin: The Song Remains the Same,1976,3.6783725910064238,2336
Charlotte's Web,1973,3.9115765617575025,27358
Herbie Rides Again,1974,3.7103700319780724,4379
The Final Countdown,1980,3.7114517583408477,5546
Parenthood,1989,3.7562770764429123,21468
Star 80,1983,2.972961186218927,2294
The Last Temptation of Christ,1988,3.4052908391553496,12740
The Onion Field,1979,3.538896276595745,3009
The Best of Designing Women,1986,3.411469534050179,1396
Crossroads,1986,3.737134909596662,1439
The Fan,1981,2.6905761159862647,5243
In the Realm of the Senses,1976,2.7483870967741937,3566
Rio Lobo,1970,3.8326563769293256,3694
Halloween 5: The Revenge of Michael Myers,1989,3.6346272335181764,3247
Wings of Desire,1987,3.7515798342929365,7122
Nightbreed,1990,3.4055299539170507,2822
Transformers: Season 3: Part 1,1986,3.9310580204778156,1466
Graveyard Shift,1990,2.8690787019768744,2682
Girls Just Want to Have Fun,1985,3.8146341463414632,3486
Mississippi Burning,1988,3.9341293689704253,25293
George Carlin: Personal Favorites,1990,3.963855421686747,2242
George Carlin: What Am I Doing in New Jersey?,1988,3.871331828442438,1773
Mrs. Soffel,1984,2.9611143354614047,1724
Monty Python's The Meaning of Life: Special Edition,1983,4.001485453425601,27602
Three Days of the Condor,1975,3.8006456288293036,15180
Young Einstein,1988,3.2800378429517503,1058
Solaris,1972,3.2443123938879457,5891
Predator 2,1990,3.1957505773672055,10826
The In-Laws,1979,3.4811494252873563,4351
The Autobiography of Miss Jane Pittman,1973,3.9838788470933073,2048
THX 1138: Special Edition,1971,3.0756200846944948,8266
Jo Jo Dancer,1986,3.0140081337550835,2214
Blue Planet: IMAX,1990,3.4481246955674623,2054
Sea of Love,1989,3.502565154935358,9747
Firestarter,1984,3.572698036560596,11817
Christmas with The Simpsons,1989,4.150783289817232,1533
Stir Crazy,1980,3.497849697499818,13720
The Last Dragon,1985,3.5402160864345738,4166
Mystery Science Theater 3000: The Hellcats,1990,3.720064724919094,1237
Matewan,1987,3.872118959107807,4036
The Last House on the Left,1972,2.750418200066912,2990
Hellbound: Hellraiser II,1988,3.383134738771769,7638
